Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Dags.sott,Nybygging
Kjarnagata 46,Akureyri,32900000,33450000,28350000,0,Fjölbýli,2008,83.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fellahvarf 10,Kópavogi,72500000,53500000,47950000,0,Fjölbýli,2005,135.8,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fífuhjalli 23,Kópavogi,36900000,34050000,25300000,0,Fjölbýli,1989,69.9,2,1,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Fljótasel 18,Reykjavík,68900000,59150000,59290000,0,Fjölbýli,1979,201,6,4,1,1,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 203,Reykjanesbæ,18900000,14500000,20150000,0,Fjölbýli,1956,53.9,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 201,Reykjanesbæ,18900000,15700000,21150000,0,Fjölbýli,1956,58.7,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 106,Reykjanesbæ,18900000,15750000,20650000,0,Fjölbýli,1956,57.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 214,Reykjanesbæ,18900000,15650000,21150000,0,Fjölbýli,1956,59,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - íbúð 212,Reykjanesbæ,18900000,15400000,20950000,0,Fjölbýli,1956,57.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 211,Reykjanesbæ,18900000,15500000,21100000,0,Fjölbýli,1956,58.1,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 210,Reykjanesbæ,18900000,15400000,20950000,0,Fjölbýli,1956,57.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 208,Reykjanesbæ,18900000,15400000,20950000,0,Fjölbýli,1956,57.4,2,1,1,0,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 207,Reykjanesbæ,18900000,15450000,20950000,0,Fjölbýli,1956,57.6,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 206,Reykjanesbæ,18900000,15400000,20950000,0,Fjölbýli,1956,57.3,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 205,Reykjanesbæ,18900000,15550000,21100000,0,Fjölbýli,1956,58.4,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 204,Reykjanesbæ,18900000,15400000,21050000,0,Fjölbýli,1956,57.9,2,1,1,0,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 202,Reykjanesbæ,18900000,15650000,21100000,0,Fjölbýli,1956,58.5,2,1,1,0,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 104,Reykjanesbæ,18900000,15750000,20750000,0,Fjölbýli,1956,57.9,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Lindarbraut 635 - Íbúð 103,Reykjanesbæ,21900000,15150000,20600000,0,Fjölbýli,1956,57,2,0,0,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 306,Njarðvík,34900000,14550000,0,0,Fjölbýli,2019,74.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 305,Njarðvík,34900000,13500000,0,0,Fjölbýli,2019,74.2,3,0,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 303,Njarðvík,34900000,13500000,0,0,Fjölbýli,2019,74.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 301,Njarðvík,39500000,18550000,0,0,Fjölbýli,2019,102.5,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 208,Njarðvík,39500000,18450000,0,0,Fjölbýli,2019,101.7,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 202,Njarðvík,30900000,13400000,0,0,Fjölbýli,2019,74.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 201,Njarðvík,39500000,17000000,0,0,Fjölbýli,2019,101.7,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 106,Njarðvík,39500000,16800000,0,0,Fjölbýli,2019,101.1,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 105,Njarðvík,31900000,13250000,0,0,Fjölbýli,2019,74.2,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - Íb. 101,Njarðvík,39500000,18350000,0,0,Fjölbýli,2019,101.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Laugarnesvegur 77,Reykjavík,54900000,48250000,36380000,0,Par/Raðhús,1933,138.8,6,4,2,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Sílalækur 18,Selfossi,34900000,5540000,0,0,Einbýli,2020,151,5,4,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Stillholt 21,Akranesi,39000000,2570000,0,0,Fjölbýli,0,93,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 14,Njarðvík,33100000,33500000,31400000,0,Fjölbýli,2018,81.3,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hringbraut 96,Reykjanesbæ,33900000,20000000,23950000,0,Fjölbýli,1954,86.4,3,2,1,0,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bríetartún 11 712,Reykjavík,89900000,69850000,0,0,Fjölbýli,2018,131.3,4,3,1,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bríetartún 9 902,Reykjavík,86900000,0,0,0,Fjölbýli,0,121.9,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bríetartún 9 802,Reykjavík,84900000,32700000,0,0,Fjölbýli,2018,121.9,3,2,1,2,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Eskivellir 11,Hafnarfirði,42000000,3250000,0,0,Fjölbýli,0,84.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
